State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date,Arrival Quantity Kg,Min Price Per Kg,Max Price Per Kg,Modal Price Per Kg
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2400.0,2700.0,2550.0,Rs./Quintal,1.74,Metric Tonnes,2025-11-07,1740.0,24.0,27.0,25.5
Tamil Nadu,Pudukkottai,Karambakkudi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.69,Metric Tonnes,2025-11-07,690.0,25.0,30.0,27.5
Tamil Nadu,Virudhunagar,Kariyapatti(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.37,Metric Tonnes,2025-11-07,370.0,25.0,30.0,27.5
Tamil Nadu,Karur,Karur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,3000.0,2900.0,Rs./Quintal,1.79,Metric Tonnes,2025-11-07,1790.0,28.0,30.0,29.0
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2200.0,2200.0,2200.0,Rs./Quintal,1.4,Metric Tonnes,2025-11-07,1400.0,22.0,22.0,22.0
Tamil Nadu,Thiruvannamalai,Keelpennathur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3500.0,4000.0,3750.0,Rs./Quintal,0.16,Metric Tonnes,2025-11-07,160.0,35.0,40.0,37.5
Tamil Nadu,Dindigul,Kodaikkanal(Uzhavar Sandhai),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.02,Metric Tonnes,2025-11-07,20.0,30.0,30.0,30.0
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1400.0,1800.0,1600.0,Rs./Quintal,4.38,Metric Tonnes,2025-11-07,4380.0,14.0,18.0,16.0
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,3000.0,2900.0,Rs./Quintal,1.82,Metric Tonnes,2025-11-07,1820.0,28.0,30.0,29.0
Tamil Nadu,Namakkal,Kumarapalayam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,0.45,Metric Tonnes,2025-11-07,450.0,20.0,25.0,22.5
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,1.3,Metric Tonnes,2025-11-07,1300.0,25.0,30.0,27.5
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,0.04,Metric Tonnes,2025-11-07,40.0,20.0,25.0,22.5
Tamil Nadu,Thiruvarur,Mannargudi I(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,1.18,Metric Tonnes,2025-11-07,1180.0,28.0,28.0,28.0
Tamil Nadu,Thiruvarur,Mannargudi II(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,0.49,Metric Tonnes,2025-11-07,490.0,28.0,28.0,28.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.19,Metric Tonnes,2025-11-07,190.0,30.0,35.0,32.5
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.21,Metric Tonnes,2025-11-07,210.0,30.0,35.0,32.5
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.73,Metric Tonnes,2025-11-07,730.0,25.0,30.0,27.5
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,2.84,Metric Tonnes,2025-11-07,2840.0,25.0,30.0,27.5
Tamil Nadu,Namakkal,Mohanur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3500.0,4000.0,3750.0,Rs./Quintal,0.36,Metric Tonnes,2025-11-07,360.0,35.0,40.0,37.5
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,1.87,Metric Tonnes,2025-11-07,1870.0,25.0,30.0,27.5
Tamil Nadu,Thiruvarur,Muthupettai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.04,Metric Tonnes,2025-11-07,40.0,30.0,30.0,30.0
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3300.0,3500.0,3400.0,Rs./Quintal,0.06,Metric Tonnes,2025-11-07,60.0,33.0,35.0,34.0
Tamil Nadu,Nagapattinam,Nagapattinam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.2,Metric Tonnes,2025-11-07,200.0,25.0,30.0,27.5
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3500.0,4500.0,4000.0,Rs./Quintal,0.25,Metric Tonnes,2025-11-07,250.0,35.0,45.0,40.0
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,5.98,Metric Tonnes,2025-11-07,5980.0,30.0,35.0,32.5
Tamil Nadu,Thiruvarur,Needamangalam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2600.0,2600.0,2600.0,Rs./Quintal,0.07,Metric Tonnes,2025-11-07,70.0,26.0,26.0,26.0
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1500.0,2400.0,1950.0,Rs./Quintal,2.81,Metric Tonnes,2025-11-07,2810.0,15.0,24.0,19.5
Tamil Nadu,Karur,Pallapatti (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,1.25,Metric Tonnes,2025-11-07,1250.0,25.0,30.0,27.5
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.22,Metric Tonnes,2025-11-07,220.0,25.0,30.0,27.5
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,1.42,Metric Tonnes,2025-11-07,1420.0,30.0,35.0,32.5
Tamil Nadu,Thiruvellore,Paruthipattu(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.33,Metric Tonnes,2025-11-07,330.0,30.0,30.0,30.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3400.0,3400.0,3400.0,Rs./Quintal,0.78,Metric Tonnes,2025-11-07,780.0,34.0,34.0,34.0
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2400.0,2600.0,2500.0,Rs./Quintal,2.3,Metric Tonnes,2025-11-07,2300.0,24.0,26.0,25.0
Tamil Nadu,Thiruvellore,Perambakkam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.1,Metric Tonnes,2025-11-07,100.0,30.0,30.0,30.0
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,2800.0,2650.0,Rs./Quintal,0.26,Metric Tonnes,2025-11-07,260.0,25.0,28.0,26.5
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1600.0,2000.0,1800.0,Rs./Quintal,1.4,Metric Tonnes,2025-11-07,1400.0,16.0,20.0,18.0
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,0.44,Metric Tonnes,2025-11-07,440.0,20.0,25.0,22.5
Tamil Nadu,Pudukkottai,Pudukottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,1.36,Metric Tonnes,2025-11-07,1360.0,25.0,30.0,27.5
Tamil Nadu,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.74,Metric Tonnes,2025-11-07,740.0,25.0,30.0,27.5
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3500.0,3800.0,3650.0,Rs./Quintal,0.26,Metric Tonnes,2025-11-07,260.0,35.0,38.0,36.5
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,0.28,Metric Tonnes,2025-11-07,280.0,28.0,28.0,28.0
Tamil Nadu,Virudhunagar,Sathur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.05,Metric Tonnes,2025-11-07,50.0,25.0,30.0,27.5
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,4000.0,3500.0,Rs./Quintal,0.29,Metric Tonnes,2025-11-07,290.0,30.0,40.0,35.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2600.0,3200.0,2900.0,Rs./Quintal,0.91,Metric Tonnes,2025-11-07,910.0,26.0,32.0,29.0
Tamil Nadu,Virudhunagar,Sivakasi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,3000.0,2900.0,Rs./Quintal,0.09,Metric Tonnes,2025-11-07,90.0,28.0,30.0,29.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1800.0,2400.0,2100.0,Rs./Quintal,5.7,Metric Tonnes,2025-11-07,5700.0,18.0,24.0,21.0
Tamil Nadu,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.27,Metric Tonnes,2025-11-07,270.0,25.0,30.0,27.5
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2200.0,2500.0,2350.0,Rs./Quintal,0.41,Metric Tonnes,2025-11-07,410.0,22.0,25.0,23.5
Tamil Nadu,Kancheepuram,Sunguvarchatram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.14,Metric Tonnes,2025-11-07,140.0,30.0,35.0,32.5
Tamil Nadu,Thiruvannamalai,Tamarainagar(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1600.0,2000.0,1800.0,Rs./Quintal,0.69,Metric Tonnes,2025-11-07,690.0,16.0,20.0,18.0
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.14,Metric Tonnes,2025-11-07,140.0,25.0,30.0,27.5
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2600.0,2600.0,2600.0,Rs./Quintal,1.22,Metric Tonnes,2025-11-07,1220.0,26.0,26.0,26.0
Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.18,Metric Tonnes,2025-11-07,180.0,25.0,30.0,27.5
Tamil Nadu,Madurai,Thirumangalam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,1.25,Metric Tonnes,2025-11-07,1250.0,25.0,30.0,27.5
Tamil Nadu,Vellore,Thirupathur APMC,Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,5.8,Metric Tonnes,2025-11-07,5800.0,20.0,25.0,22.5
Tamil Nadu,Villupuram,Tindivanam APMC,Vegetables,Tomato,Deshi,Local,2000.0,2000.0,2000.0,Rs./Quintal,0.85,Metric Tonnes,2025-11-07,850.0,20.0,20.0,20.0
Tamil Nadu,Namakkal,Tiruchengode APMC,Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.2,Metric Tonnes,2025-11-07,200.0,25.0,30.0,27.5
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2200.0,2500.0,2350.0,Rs./Quintal,1.42,Metric Tonnes,2025-11-07,1420.0,22.0,25.0,23.5
Tamil Nadu,Thiruvellore,Tiruvallur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.3,Metric Tonnes,2025-11-07,300.0,30.0,30.0,30.0
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,2.7,Metric Tonnes,2025-11-07,2700.0,20.0,25.0,22.5
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.23,Metric Tonnes,2025-11-07,230.0,30.0,30.0,30.0
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,3000.0,2900.0,Rs./Quintal,2.4,Metric Tonnes,2025-11-07,2400.0,28.0,30.0,29.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Vegetables,Tomato,Deshi,Local,2000.0,2700.0,2350.0,Rs./Quintal,0.85,Metric Tonnes,2025-11-07,850.0,20.0,27.0,23.5
Tamil Nadu,Villupuram,Ulundurpettai APMC,Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,0.39,Metric Tonnes,2025-11-07,390.0,28.0,28.0,28.0
Tamil Nadu,Madurai,Usilampatty APMC,Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.58,Metric Tonnes,2025-11-07,580.0,25.0,30.0,27.5
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Vegetables,Tomato,Deshi,Local,3200.0,3500.0,3350.0,Rs./Quintal,1.19,Metric Tonnes,2025-11-07,1190.0,32.0,35.0,33.5
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,1.93,Metric Tonnes,2025-11-07,1930.0,20.0,25.0,22.5
Tamil Nadu,Thiruvarur,Valangaiman APMC,Vegetables,Tomato,Deshi,Local,2600.0,2600.0,2600.0,Rs./Quintal,0.08,Metric Tonnes,2025-11-07,80.0,26.0,26.0,26.0
Tamil Nadu,Thirupathur,Vaniyampadi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,2500.0,2500.0,Rs./Quintal,8.08,Metric Tonnes,2025-11-07,8080.0,25.0,25.0,25.0
Tamil Nadu,Vellore,Vellore APMC,Vegetables,Tomato,Deshi,Local,2000.0,2200.0,2100.0,Rs./Quintal,4.1,Metric Tonnes,2025-11-07,4100.0,20.0,22.0,21.0
Tamil Nadu,Pudukkottai,Viralimalai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.35,Metric Tonnes,2025-11-07,350.0,25.0,30.0,27.5
Tamil Nadu,Virudhunagar,Virudhunagar(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.12,Metric Tonnes,2025-11-07,120.0,25.0,30.0,27.5
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.14,Metric Tonnes,2025-11-07,140.0,30.0,30.0,30.0
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.9,Metric Tonnes,2025-11-08,900.0,25.0,30.0,27.5
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,1.85,Metric Tonnes,2025-11-08,1850.0,28.0,28.0,28.0
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.57,Metric Tonnes,2025-11-08,570.0,25.0,30.0,27.5
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2400.0,2400.0,2400.0,Rs./Quintal,0.73,Metric Tonnes,2025-11-08,730.0,24.0,24.0,24.0
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Vegetables,Tomato,Deshi,Local,3000.0,3600.0,3300.0,Rs./Quintal,0.15,Metric Tonnes,2025-11-08,150.0,30.0,36.0,33.0
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.65,Metric Tonnes,2025-11-08,650.0,30.0,35.0,32.5
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2200.0,2100.0,Rs./Quintal,0.58,Metric Tonnes,2025-11-08,580.0,20.0,22.0,21.0
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,1.19,Metric Tonnes,2025-11-08,1190.0,20.0,25.0,22.5
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2400.0,2700.0,2550.0,Rs./Quintal,0.28,Metric Tonnes,2025-11-08,280.0,24.0,27.0,25.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,4000.0,3500.0,Rs./Quintal,0.89,Metric Tonnes,2025-11-08,890.0,30.0,40.0,35.0
Tamil Nadu,Thiruvannamalai,Chengam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1500.0,2000.0,1750.0,Rs./Quintal,0.5,Metric Tonnes,2025-11-08,500.0,15.0,20.0,17.5
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,2.4,Metric Tonnes,2025-11-08,2400.0,25.0,30.0,27.5
Tamil Nadu,The Nilgiris,Coonoor(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,3000.0,2900.0,Rs./Quintal,1.66,Metric Tonnes,2025-11-08,1660.0,28.0,30.0,29.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,0.34,Metric Tonnes,2025-11-08,340.0,28.0,28.0,28.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1500.0,2000.0,1750.0,Rs./Quintal,2.18,Metric Tonnes,2025-11-08,2180.0,15.0,20.0,17.5
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3400.0,3200.0,Rs./Quintal,0.27,Metric Tonnes,2025-11-08,270.0,30.0,34.0,32.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,2600.0,2550.0,Rs./Quintal,0.45,Metric Tonnes,2025-11-08,450.0,25.0,26.0,25.5
Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,2.3,Metric Tonnes,2025-11-08,2300.0,25.0,30.0,27.5
