Arrival Date,Market,District,Variety,Modal Price Per Kg,Arrival Quantity Kg,day_of_week,day_of_month,month,week_of_year,price_lag_1,price_lag_7,price_lag_14,rolling_price_7,rolling_price_14
2026-03-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3580.0,3,5,3,10,9.0,11.0,12.0,9.714285714285714,10.071428571428571
2026-03-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3810.0,4,6,3,10,9.0,10.0,12.0,9.857142857142858,10.0
2026-03-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3450.0,5,7,3,10,11.0,9.0,12.0,10.142857142857142,9.928571428571429
2026-03-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,2740.0,6,8,3,10,11.0,9.0,9.0,10.428571428571429,10.071428571428571
2026-03-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3020.0,0,9,3,11,11.0,11.0,9.0,10.428571428571429,10.214285714285714
2026-03-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,2880.0,1,10,3,11,11.0,11.0,9.0,10.428571428571429,10.357142857142858
2026-03-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,2620.0,2,11,3,11,11.0,9.0,11.0,10.857142857142858,10.428571428571429
2026-03-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3360.0,3,12,3,11,12.0,9.0,11.0,11.285714285714286,10.5
2026-03-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3210.0,4,13,3,11,12.0,11.0,10.0,11.428571428571429,10.642857142857142
2026-03-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3270.0,5,14,3,11,12.0,11.0,9.0,11.571428571428571,10.857142857142858
2026-03-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,4180.0,6,15,3,11,12.0,11.0,9.0,11.714285714285714,11.071428571428571
2026-03-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,3880.0,0,16,3,12,12.0,11.0,11.0,12.071428571428571,11.25
2026-03-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,3370.0,1,17,3,12,13.5,11.0,11.0,12.428571428571429,11.428571428571429
2026-03-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3250.0,2,18,3,12,13.5,12.0,9.0,12.428571428571429,11.642857142857142
2026-03-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3180.0,3,19,3,12,12.0,12.0,9.0,12.428571428571429,11.857142857142858
2026-03-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,13.5,3320.0,4,20,3,12,12.0,12.0,11.0,12.642857142857142,12.035714285714286
2026-03-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2740.0,5,21,3,12,13.5,12.0,11.0,12.928571428571429,12.25
2026-03-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2500.0,6,22,3,12,14.0,12.0,11.0,13.214285714285714,12.464285714285714
2026-03-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.5,2800.0,0,23,3,13,14.0,13.5,11.0,13.071428571428571,12.571428571428571
2026-03-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,2660.0,1,24,3,13,12.5,13.5,11.0,12.714285714285714,12.571428571428571
2026-03-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,2740.0,2,25,3,13,11.0,12.0,12.0,12.571428571428571,12.5
2026-03-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,2820.0,3,26,3,13,11.0,12.0,12.0,12.571428571428571,12.5
2026-03-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.0,1700.0,4,27,3,13,12.0,13.5,12.0,12.5,12.571428571428571
2026-03-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.0,2810.0,5,28,3,13,13.0,14.0,12.0,12.642857142857142,12.785714285714286
2026-03-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.0,3170.0,6,29,3,13,15.0,14.0,12.0,12.928571428571429,13.071428571428571
2026-03-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,2460.0,0,30,3,14,16.0,12.5,13.5,13.071428571428571,13.071428571428571
2026-03-31,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.5,2930.0,1,31,3,14,13.5,11.0,13.5,13.714285714285714,13.214285714285714
2026-04-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.5,2960.0,2,1,4,14,15.5,11.0,12.0,14.357142857142858,13.464285714285714
2026-04-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.5,2500.0,3,2,4,14,15.5,12.0,12.0,15.0,13.785714285714286
2026-04-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.0,1640.0,4,3,4,14,16.5,13.0,13.5,15.428571428571429,13.964285714285714
2026-04-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2640.0,5,4,4,14,16.0,15.0,14.0,15.285714285714286,13.964285714285714
2026-04-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,2100.0,6,5,4,14,14.0,16.0,14.0,14.928571428571429,13.928571428571429
2026-04-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,1170.0,0,6,4,15,13.5,13.5,12.5,15.0,14.035714285714286
2026-04-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.0,1880.0,1,7,4,15,14.0,15.5,11.0,15.071428571428571,14.392857142857142
2026-04-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2340.0,2,8,4,15,16.0,15.5,11.0,14.857142857142858,14.607142857142858
2026-04-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,1320.0,3,9,4,15,14.0,16.5,12.0,14.5,14.75
2026-04-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,17.0,1960.0,4,10,4,15,14.0,16.0,13.0,14.642857142857142,15.035714285714286
2026-04-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.5,1900.0,5,11,4,15,17.0,14.0,15.0,15.0,15.142857142857142
2026-04-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,20.0,1880.0,6,12,4,15,16.5,13.5,16.0,15.928571428571429,15.428571428571429
2026-04-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.0,1960.0,0,13,4,16,20.0,14.0,13.5,17.071428571428573,16.035714285714285
2026-04-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.5,2400.0,1,14,4,16,22.0,16.0,15.5,18.0,16.535714285714285
2026-04-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,23.0,2310.0,2,15,4,16,22.5,14.0,15.5,19.285714285714285,17.071428571428573
2026-04-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.5,3440.0,3,16,4,16,23.0,14.0,16.5,20.5,17.5
2026-04-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,23.0,3320.0,4,17,4,16,22.5,17.0,16.0,21.357142857142858,18.0
2026-04-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,23.0,3050.0,5,18,4,16,23.0,16.5,14.0,22.285714285714285,18.642857142857142
2026-04-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,26.0,2820.0,6,19,4,16,23.0,20.0,13.5,23.142857142857142,19.535714285714285
2026-04-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,2790.0,0,20,4,17,26.0,22.0,14.0,23.928571428571427,20.5
2026-04-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,26.0,3160.0,1,21,4,17,27.5,22.5,16.0,24.428571428571427,21.214285714285715
2026-04-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.0,2430.0,2,22,4,17,26.0,23.0,14.0,25.0,22.142857142857142
2026-04-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,1930.0,3,23,4,17,27.0,22.5,14.0,25.714285714285715,23.107142857142858
2026-04-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,1040.0,4,24,4,17,27.5,23.0,17.0,26.357142857142858,23.857142857142858
2026-04-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,41.0,1890.0,5,25,4,17,27.5,23.0,16.5,28.928571428571427,25.607142857142858
2026-04-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,42.0,2380.0,6,26,4,17,41.0,26.0,20.0,31.214285714285715,27.178571428571427
2026-04-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,37.5,2860.0,0,27,4,18,42.0,27.5,22.0,32.642857142857146,28.285714285714285
2026-04-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,38.5,2880.0,1,28,4,18,37.5,26.0,22.5,34.42857142857143,29.428571428571427
2026-04-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,42.0,2800.0,2,29,4,18,38.5,27.0,23.0,36.57142857142857,30.785714285714285
2026-04-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,36.0,2670.0,3,30,4,18,42.0,27.5,22.5,37.785714285714285,31.75
2026-05-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,33.0,2440.0,4,1,5,18,36.0,27.5,23.0,38.57142857142857,32.464285714285715
2026-05-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,1940.0,5,2,5,18,33.0,41.0,23.0,37.285714285714285,33.107142857142854
2026-05-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,30.0,2380.0,6,3,5,18,32.0,42.0,26.0,35.57142857142857,33.392857142857146
2026-05-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,2300.0,0,4,5,19,30.0,37.5,27.5,34.214285714285715,33.42857142857143
2026-05-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,26.5,2050.0,1,5,5,19,28.0,38.5,26.0,32.5,33.464285714285715
2026-05-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,1540.0,2,6,5,19,26.5,42.0,27.0,30.428571428571427,33.5
2026-05-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,1710.0,3,7,5,19,27.5,36.0,27.5,29.857142857142858,33.82142857142857
2026-05-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,29.0,2480.0,4,8,5,19,32.0,33.0,27.5,29.285714285714285,33.92857142857143
2026-05-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,2340.0,5,9,5,19,29.0,32.0,41.0,28.714285714285715,33.0
2026-05-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,2720.0,6,10,5,19,28.0,30.0,42.0,29.0,32.285714285714285
2026-05-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,2310.0,0,11,5,20,32.0,28.0,37.5,29.0,31.607142857142858
2026-05-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,2630.0,1,12,5,20,28.0,26.5,38.5,29.142857142857142,30.821428571428573
2026-05-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,3220.0,2,13,5,20,27.5,27.5,42.0,29.214285714285715,29.821428571428573
2026-05-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,3140.0,3,14,5,20,28.0,32.0,36.0,28.642857142857142,29.25
2026-05-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,29.0,2420.0,4,15,5,20,28.0,29.0,33.0,28.642857142857142,28.964285714285715
2026-05-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,3200.0,5,16,5,20,29.0,28.0,32.0,29.214285714285715,28.964285714285715
2026-05-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,3140.0,6,17,5,20,32.0,32.0,30.0,29.357142857142858,29.178571428571427
2026-05-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,2350.0,0,18,5,21,33.0,28.0,28.0,30.071428571428573,29.535714285714285
2026-05-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,2320.0,1,19,5,21,33.0,27.5,26.5,30.857142857142858,30.0
2026-05-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,2720.0,2,20,5,21,33.0,28.0,27.5,31.571428571428573,30.392857142857142
2026-05-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.5,2800.0,3,21,5,21,33.0,28.0,32.0,32.214285714285715,30.428571428571427
2026-05-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,33.5,2800.0,4,22,5,21,32.5,29.0,29.0,32.857142857142854,30.75
2026-05-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,2480.0,5,23,5,21,33.5,32.0,28.0,33.0,31.107142857142858
2026-05-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,34.0,2840.0,6,24,5,21,33.0,33.0,32.0,33.142857142857146,31.25
2026-05-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,34.0,2780.0,0,25,5,22,34.0,33.0,28.0,33.285714285714285,31.678571428571427
2026-05-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,33.0,2800.0,1,26,5,22,34.0,33.0,27.5,33.285714285714285,32.07142857142857
2026-05-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,2700.0,2,27,5,22,33.0,33.0,28.0,33.142857142857146,32.357142857142854
2026-05-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,2780.0,3,28,5,22,32.0,32.5,28.0,33.07142857142857,32.642857142857146
2026-05-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,29.0,2560.0,4,29,5,22,32.0,33.5,29.0,32.42857142857143,32.642857142857146
2026-05-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,2340.0,5,30,5,22,29.0,33.0,32.0,32.285714285714285,32.642857142857146
2026-05-31,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,3060.0,6,31,5,22,32.0,34.0,33.0,32.0,32.57142857142857
2026-06-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.0,3200.0,0,1,6,23,32.0,34.0,33.0,31.142857142857142,32.214285714285715
2026-06-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.5,3060.0,1,2,6,23,28.0,33.0,33.0,30.5,31.892857142857142
2026-06-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.5,2660.0,2,3,6,23,28.5,32.0,33.0,30.571428571428573,31.857142857142858
2026-06-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,34.0,2640.0,3,4,6,23,32.5,32.0,32.5,30.857142857142858,31.964285714285715
2026-06-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,19.0,160.0,4,5,6,23,34.0,29.0,33.5,29.428571428571427,30.928571428571427
2026-06-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,37.5,2820.0,5,6,6,23,19.0,32.0,33.0,30.214285714285715,31.25
2026-06-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,38.5,3100.0,6,7,6,23,37.5,32.0,34.0,31.142857142857142,31.571428571428573
2026-06-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,36.5,3080.0,0,8,6,24,38.5,28.0,34.0,32.357142857142854,31.75
2026-06-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,34.0,3080.0,1,9,6,24,36.5,28.5,33.0,33.142857142857146,31.821428571428573
2026-06-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,37.5,3420.0,2,10,6,24,34.0,32.5,32.0,33.857142857142854,32.214285714285715
2026-06-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,37.5,3000.0,3,11,6,24,37.5,34.0,32.0,34.357142857142854,32.607142857142854
2026-06-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,37.0,3100.0,4,12,6,24,37.5,19.0,29.0,36.92857142857143,33.17857142857143
2026-06-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,3260.0,5,13,6,24,37.0,37.5,32.0,36.142857142857146,33.17857142857143
2026-06-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.5,3600.0,6,14,6,24,32.0,38.5,32.0,35.285714285714285,33.214285714285715
2026-06-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.5,2760.0,0,15,6,25,32.5,36.5,28.0,34.714285714285715,33.535714285714285
2026-06-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,32.0,2960.0,1,16,6,25,32.5,34.0,28.5,34.42857142857143,33.785714285714285
2026-06-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.5,2700.0,2,17,6,25,32.0,37.5,32.5,33.142857142857146,33.5
2026-06-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,28.5,2680.0,3,18,6,25,28.5,37.5,34.0,31.857142857142858,33.107142857142854
2026-06-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,29.0,3470.0,4,19,6,25,28.5,37.0,19.0,30.714285714285715,33.82142857142857
2026-06-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,26.0,3540.0,5,20,6,25,29.0,32.0,37.5,29.857142857142858,33.0
2026-06-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,27.5,3530.0,6,21,6,25,26.0,32.5,38.5,29.142857142857142,32.214285714285715
2026-06-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,18.0,3340.0,0,22,6,26,27.5,32.5,36.5,27.071428571428573,30.892857142857142
2026-06-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.5,3680.0,1,23,6,26,18.0,32.0,34.0,24.857142857142858,29.642857142857142
2026-06-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.0,3110.0,2,24,6,26,16.5,28.5,37.5,23.928571428571427,28.535714285714285
2026-06-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.0,2220.0,3,25,6,26,22.0,28.5,37.5,23.0,27.428571428571427
2026-06-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Local,17.0,3160.0,4,26,6,26,22.0,29.0,37.0,21.285714285714285,26.0
2026-06-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.5,3100.0,5,27,6,26,17.0,26.0,32.0,19.928571428571427,24.892857142857142
2026-06-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.0,3380.0,6,28,6,26,16.5,27.5,32.5,18.142857142857142,23.642857142857142
2026-06-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,3220.0,0,29,6,27,15.0,18.0,32.5,17.5,22.285714285714285
2026-06-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,16.5,2860.0,1,30,6,27,13.5,16.5,32.0,17.5,21.178571428571427
2026-07-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,17.5,3240.0,2,1,7,27,16.5,22.0,28.5,16.857142857142858,20.392857142857142
2026-07-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,17.5,3260.0,3,2,7,27,17.5,22.0,28.5,16.214285714285715,19.607142857142858
2026-07-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.0,3340.0,5,4,7,27,17.5,17.0,29.0,15.928571428571429,18.607142857142858
2026-07-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,3240.0,6,5,7,27,15.0,16.5,26.0,15.571428571428571,17.75
2026-07-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.0,2500.0,0,6,7,28,14.0,15.0,27.5,15.571428571428571,16.857142857142858
