buyer,quantity,offer_price,reservation_price,decision,counteroffer,explanation
ABC Processor,500,27.1,32.13,REJECT,,The offer of ₹27.1/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,300,30.97,32.13,NEGOTIATE,33.42,The offer of ₹30.97/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
ABC Processor,200,33.87,32.13,ACCEPT,,"The offer of ₹33.87/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
ABC Processor,500,26.33,32.13,REJECT,,The offer of ₹26.33/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,400,27.11,32.13,REJECT,,The offer of ₹27.11/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,200,32.67,32.13,ACCEPT,,"The offer of ₹32.67/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
ABC Processor,100,27.84,32.13,REJECT,,The offer of ₹27.84/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,300,29.75,32.13,NEGOTIATE,33.42,The offer of ₹29.75/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Wholesale Buyer,500,28.41,32.13,REJECT,,The offer of ₹28.41/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Wholesale Buyer,500,21.15,32.13,REJECT,,The offer of ₹21.15/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Wholesale Buyer,200,27.95,32.13,REJECT,,The offer of ₹27.95/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Wholesale Buyer,400,30.87,32.13,NEGOTIATE,33.42,The offer of ₹30.87/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Wholesale Buyer,100,28.59,32.13,REJECT,,The offer of ₹28.59/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Wholesale Buyer,100,28.08,32.13,REJECT,,The offer of ₹28.08/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Wholesale Buyer,100,31.07,32.13,NEGOTIATE,33.42,The offer of ₹31.07/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Wholesale Buyer,200,33.29,32.13,ACCEPT,,"The offer of ₹33.29/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Wholesale Buyer,200,33.15,32.13,ACCEPT,,"The offer of ₹33.15/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Wholesale Buyer,200,20.37,32.13,REJECT,,The offer of ₹20.37/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,300,34.86,32.13,ACCEPT,,"The offer of ₹34.86/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Retail Distributor,500,33.12,32.13,ACCEPT,,"The offer of ₹33.12/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Retail Distributor,300,25.76,32.13,REJECT,,The offer of ₹25.76/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,400,21.05,32.13,REJECT,,The offer of ₹21.05/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,100,20.79,32.13,REJECT,,The offer of ₹20.79/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,500,26.03,32.13,REJECT,,The offer of ₹26.03/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,400,27.2,32.13,REJECT,,The offer of ₹27.2/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,200,34.76,32.13,ACCEPT,,"The offer of ₹34.76/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Retail Distributor,400,21.38,32.13,REJECT,,The offer of ₹21.38/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Retail Distributor,100,31.06,32.13,NEGOTIATE,33.42,The offer of ₹31.06/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
