day,crop,market,current_price,forecast_price,transport_cost_per_kg,commission_per_kg,storage_cost_per_kg,spoilage_percentage,demand_score
6,Tomato,Koyambedu,28.96,32.11,1.31,0.38,0.63,8.48,69
6,Tomato,Madurai,28.45,27.5,2.23,0.51,0.76,3.1,77
6,Tomato,Coimbatore,29.35,28.61,1.85,0.76,0.34,3.4,97
6,Tomato,Salem,27.55,28.73,1.1,0.27,0.74,9.2,58
6,Tomato,Trichy,24.79,26.99,2.62,0.89,0.44,9.1,60
7,Tomato,Koyambedu,31.36,34.07,2.17,0.66,0.42,9.52,74
7,Tomato,Madurai,22.05,21.02,1.87,0.75,0.59,3.79,82
7,Tomato,Coimbatore,22.18,23.14,0.95,0.49,0.65,7.77,82
7,Tomato,Salem,27.43,28.48,2.09,0.4,0.55,9.83,57
7,Tomato,Trichy,28.31,31.08,1.76,0.66,0.5,3.56,97
8,Tomato,Koyambedu,24.81,22.95,2.11,0.34,0.76,9.63,55
8,Tomato,Madurai,25.7,23.79,2.82,0.54,0.78,9.71,82
8,Tomato,Coimbatore,22.75,22.59,0.98,0.41,0.49,4.98,91
8,Tomato,Salem,31.36,33.54,1.93,0.28,0.57,9.92,51
8,Tomato,Trichy,24.54,24.31,1.31,0.88,0.28,7.67,88
9,Tomato,Koyambedu,24.94,27.79,2.53,0.89,0.75,6.09,85
9,Tomato,Madurai,29.98,31.88,2.25,0.84,0.73,4.7,77
9,Tomato,Coimbatore,27.79,28.42,2.18,0.46,0.29,9.85,71
9,Tomato,Salem,27.91,26.09,0.59,0.86,0.42,3.02,82
9,Tomato,Trichy,30.28,29.91,2.91,0.57,0.71,3.56,79
10,Tomato,Koyambedu,27.41,29.23,2.32,0.98,0.51,4.58,66
10,Tomato,Madurai,25.99,26.59,2.36,0.4,0.31,2.65,58
10,Tomato,Coimbatore,28.88,27.23,2.79,0.55,0.34,2.75,74
10,Tomato,Salem,28.6,28.28,2.89,0.79,0.53,6.89,52
10,Tomato,Trichy,24.48,24.61,2.39,0.21,0.27,2.37,98
11,Tomato,Koyambedu,25.11,28.99,0.94,0.21,0.66,8.46,85
11,Tomato,Madurai,23.73,24.34,1.5,0.69,0.58,2.36,80
11,Tomato,Coimbatore,22.15,25.75,1.75,0.63,0.61,6.93,65
11,Tomato,Salem,28.42,26.58,1.96,0.95,0.55,5.11,82
11,Tomato,Trichy,26.58,27.86,2.85,0.51,0.78,9.24,93
12,Tomato,Koyambedu,24.74,24.03,1.44,0.23,0.57,4.69,75
12,Tomato,Madurai,25.19,28.26,0.56,0.85,0.37,2.95,99
12,Tomato,Coimbatore,28.29,31.55,2.34,0.84,0.37,3.42,58
12,Tomato,Salem,27.69,29.14,2.33,0.3,0.35,6.64,72
12,Tomato,Trichy,31.31,34.46,1.57,0.8,0.65,2.82,66
13,Tomato,Koyambedu,27.34,28.32,1.47,0.44,0.26,2.43,90
13,Tomato,Madurai,30.47,30.6,2.89,0.74,0.49,5.94,65
13,Tomato,Coimbatore,26.48,26.24,1.32,0.74,0.65,8.33,88
13,Tomato,Salem,22.91,23.88,0.64,0.64,0.46,9.1,92
13,Tomato,Trichy,29.06,32.87,2.22,0.87,0.72,8.71,95
14,Tomato,Koyambedu,29.01,27.45,2.55,0.76,0.25,2.68,68
14,Tomato,Madurai,27.81,30.99,2.7,0.39,0.74,6.74,85
14,Tomato,Coimbatore,25.76,24.26,2.44,0.65,0.45,9.25,88
14,Tomato,Salem,26.34,25.87,1.51,0.66,0.64,8.14,90
14,Tomato,Trichy,29.44,31.53,1.09,0.52,0.49,2.66,82
15,Tomato,Koyambedu,24.24,28.02,0.53,0.98,0.23,9.13,70
15,Tomato,Madurai,31.93,30.37,1.88,0.98,0.51,7.04,63
15,Tomato,Coimbatore,24.94,28.92,2.24,0.51,0.64,9.32,59
15,Tomato,Salem,31.5,34.85,1.64,0.7,0.37,3.5,75
15,Tomato,Trichy,25.88,25.26,1.16,0.49,0.36,5.63,66
16,Tomato,Koyambedu,24.8,25.26,2.01,0.42,0.28,2.61,55
16,Tomato,Madurai,31.5,33.85,2.03,0.53,0.76,8.93,94
16,Tomato,Coimbatore,23.65,24.12,2.44,0.58,0.79,5.01,75
16,Tomato,Salem,25.81,29.63,2.61,0.87,0.48,5.32,50
16,Tomato,Trichy,22.14,20.59,2.23,0.63,0.65,9.31,72
17,Tomato,Koyambedu,29.69,33.36,2.62,0.4,0.47,3.03,94
17,Tomato,Madurai,28.06,27.43,2.18,0.69,0.41,2.91,75
17,Tomato,Coimbatore,26.98,27.84,2.58,0.45,0.69,9.74,79
17,Tomato,Salem,30.77,31.19,0.84,0.22,0.65,6.96,51
17,Tomato,Trichy,30.05,33.47,2.04,0.98,0.56,7.09,64
18,Tomato,Koyambedu,26.37,29.8,1.37,0.61,0.67,5.17,91
18,Tomato,Madurai,30.62,34.32,0.87,0.94,0.5,4.07,73
18,Tomato,Coimbatore,22.46,24.18,1.37,0.37,0.55,4.73,96
18,Tomato,Salem,23.29,22.06,0.88,0.31,0.58,3.46,74
18,Tomato,Trichy,30.97,31.81,2.17,0.34,0.32,2.33,54
19,Tomato,Koyambedu,25.45,25.54,0.58,0.64,0.52,4.85,95
19,Tomato,Madurai,25.64,26.66,2.23,0.23,0.68,7.02,96
19,Tomato,Coimbatore,27.12,26.06,1.44,0.2,0.72,2.68,84
19,Tomato,Salem,23.85,23.1,1.43,0.59,0.57,4.95,73
19,Tomato,Trichy,29.21,27.58,0.87,0.31,0.61,8.76,92
20,Tomato,Koyambedu,27.32,25.96,1.62,0.63,0.35,4.15,86
20,Tomato,Madurai,23.82,25.21,2.6,0.27,0.52,3.87,62
20,Tomato,Coimbatore,27.94,30.01,2.47,0.6,0.25,6.3,83
20,Tomato,Salem,27.58,29.1,1.91,0.5,0.4,9.2,83
20,Tomato,Trichy,24.44,25.43,1.33,0.95,0.2,3.8,55
21,Tomato,Koyambedu,24.46,23.42,0.97,0.43,0.3,9.17,52
21,Tomato,Madurai,27.25,27.71,2.96,0.29,0.44,9.76,53
21,Tomato,Coimbatore,22.05,25.9,1.73,0.78,0.69,7.75,60
21,Tomato,Salem,27.72,27.4,2.42,0.35,0.39,5.4,82
21,Tomato,Trichy,29.36,30.54,2.27,0.81,0.25,6.05,85
22,Tomato,Koyambedu,25.21,26.77,1.42,0.56,0.53,6.39,51
22,Tomato,Madurai,25.22,28.08,1.14,0.75,0.66,6.77,73
22,Tomato,Coimbatore,28.06,30.83,0.77,0.88,0.65,5.27,60
22,Tomato,Salem,31.38,30.47,0.67,0.79,0.54,8.73,57
22,Tomato,Trichy,30.28,32.78,2.5,0.86,0.31,3.89,63
23,Tomato,Koyambedu,27.23,27.38,2.69,0.51,0.69,5.51,63
23,Tomato,Madurai,31.0,32.74,1.85,0.55,0.55,4.84,96
23,Tomato,Coimbatore,25.84,27.1,2.77,0.7,0.27,9.52,56
23,Tomato,Salem,29.31,31.47,0.92,0.9,0.5,7.93,76
23,Tomato,Trichy,29.89,28.8,1.28,0.4,0.65,2.27,71
24,Tomato,Koyambedu,29.14,30.1,2.39,0.28,0.52,5.03,94
24,Tomato,Madurai,23.27,23.66,2.49,0.32,0.34,7.78,51
24,Tomato,Coimbatore,22.12,23.71,1.91,0.77,0.56,8.61,59
24,Tomato,Salem,25.43,24.79,1.56,0.43,0.57,9.29,89
24,Tomato,Trichy,27.06,28.73,0.55,0.9,0.76,6.52,53
25,Tomato,Koyambedu,29.9,28.04,2.13,0.82,0.42,2.55,78
25,Tomato,Madurai,23.04,26.09,2.78,0.3,0.34,3.32,85
25,Tomato,Coimbatore,23.25,26.77,2.67,0.62,0.55,5.19,58
25,Tomato,Salem,29.44,28.68,2.47,0.68,0.27,5.32,75
25,Tomato,Trichy,31.2,31.28,1.37,0.79,0.47,3.8,93
26,Tomato,Koyambedu,31.13,30.62,1.94,0.33,0.22,4.49,78
26,Tomato,Madurai,27.81,29.6,0.53,0.73,0.31,9.69,98
26,Tomato,Coimbatore,27.57,30.74,1.84,0.35,0.38,4.48,79
26,Tomato,Salem,29.5,28.76,2.75,0.36,0.31,2.29,79
26,Tomato,Trichy,30.37,31.89,1.24,0.77,0.52,6.28,98
27,Tomato,Koyambedu,26.01,27.37,0.89,0.35,0.72,9.57,81
27,Tomato,Madurai,24.72,28.11,1.82,0.84,0.79,8.72,56
27,Tomato,Coimbatore,28.59,26.75,1.05,0.38,0.6,2.16,96
27,Tomato,Salem,27.69,31.02,1.89,0.78,0.68,9.91,81
27,Tomato,Trichy,30.56,33.54,1.49,0.73,0.32,4.35,97
28,Tomato,Koyambedu,22.87,24.67,2.34,0.88,0.27,9.01,78
28,Tomato,Madurai,26.21,29.57,2.54,0.47,0.36,5.04,72
28,Tomato,Coimbatore,22.34,25.33,1.36,0.82,0.42,8.89,84
28,Tomato,Salem,31.48,34.07,0.85,0.89,0.49,9.16,81
28,Tomato,Trichy,26.25,24.39,1.17,0.63,0.58,4.06,71
29,Tomato,Koyambedu,30.35,34.26,1.81,0.34,0.36,2.15,67
29,Tomato,Madurai,27.3,30.19,1.75,0.25,0.44,5.98,61
29,Tomato,Coimbatore,24.06,22.13,0.84,0.92,0.72,6.78,61
29,Tomato,Salem,28.33,29.3,1.93,0.87,0.44,8.17,95
29,Tomato,Trichy,22.47,21.47,2.35,0.27,0.56,3.96,70
30,Tomato,Koyambedu,30.37,30.99,2.79,0.78,0.57,9.59,96
30,Tomato,Madurai,31.54,30.35,1.71,0.42,0.52,3.3,92
30,Tomato,Coimbatore,30.46,34.2,0.89,0.7,0.48,4.76,89
30,Tomato,Salem,29.28,30.25,2.22,0.55,0.35,8.55,86
30,Tomato,Trichy,22.02,25.83,0.51,0.28,0.39,8.46,98
