Arrival Date,Market,District,Modal Price Per Kg,Arrival Quantity Kg,arrival_change_pct,price_change_pct,price_deviation_pct,arrival_deviation_pct,anomaly_score,overall_shock,supply_shock,price_shock,shock_status
2026-02-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,2560.0,13.777777777777779,0.0,-7.182320441988953,-21.746724890829697,0.1518861994018798,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2890.0,12.890625,16.666666666666675,13.294797687861267,-7.667731629392971,0.10938962432749588,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2720.0,-5.882352941176472,0.0,12.643678160919539,-7.796610169491526,0.17152140566210594,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,3540.0,30.147058823529417,0.0,8.888888888888886,23.222277473893595,0.11444288746985676,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,15.0,3830.0,8.192090395480234,7.14285714285714,12.903225806451607,31.228585413607448,0.08545211444570289,NORMAL,SUPPLY SHOCK,NORMAL,SUPPLY SHOCK
2026-02-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,4550.0,18.79895561357703,-6.666666666666665,3.1578947368421075,42.56938227394807,0.0706981307331232,NORMAL,SUPPLY SHOCK,NORMAL,SUPPLY SHOCK
2026-02-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3820.0,-16.043956043956044,-21.42857142857143,-18.085106382978726,11.836051861145961,0.06032811501164942,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3980.0,4.188481675392675,-18.181818181818176,-30.76923076923077,9.988156336360051,0.04028401981780494,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3930.0,-1.2562814070351758,22.222222222222232,-12.499999999999998,4.323094425483498,0.10546346259418393,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,4060.0,3.30788804071247,9.090909090909083,-2.3255813953488436,2.562251894622883,0.16888853270754683,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3960.0,-2.463054187192115,0.0,0.0,-1.4575186633487347,0.2129741719841059,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3820.0,-3.535353535353536,0.0,3.7037037037037064,-4.907539118065438,0.2026133921560756,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3980.0,4.188481675392675,-25.0,-17.10526315789474,1.1252268602540818,0.0923653023867611,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3900.0,-2.010050251256279,0.0,-14.864864864864863,-1.1943539630836097,0.18794985514956247,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3180.0,-18.461538461538463,22.222222222222232,1.3157894736842057,-17.033171822586652,0.0675599896230068,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,2940.0,-7.547169811320753,0.0,1.3157894736842057,-20.35603715170279,0.16986393091246804,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3850.0,30.952380952380953,9.090909090909083,10.52631578947368,5.150214592274675,0.1173844751276758,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3360.0,-12.727272727272732,0.0,10.52631578947368,-6.032760687175391,0.17332275665564373,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3750.0,11.607142857142861,0.0,10.52631578947368,5.168269230769229,0.17769113954144788,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3590.0,-4.266666666666663,-25.0,-17.10526315789474,2.2792022792022792,0.08896053329104286,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3690.0,2.785515320334264,0.0,-17.10526315789474,6.0344827586206895,0.17617230646128562,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,2110.0,-42.81842818428184,0.0,-14.864864864864863,-36.58222413052813,0.03776116286121922,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3130.0,48.34123222748816,22.222222222222232,4.054054054054056,-6.686541737649061,0.040212033254771073,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-02-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3840.0,22.683706070287535,0.0,5.4794520547945185,14.529186195142744,0.15875148150056045,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,10.0,4220.0,9.895833333333325,-9.090909090909093,-1.4084507042253471,21.413892314015616,0.14096709618966585,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3690.0,-12.559241706161139,-9.999999999999998,-7.352941176470582,6.427688504326323,0.15404424599867256,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3660.0,-0.8130081300813052,0.0,-7.352941176470582,5.258833196384546,0.20137068192869473,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3690.0,0.8196721311475308,22.222222222222232,10.0,6.121610517666387,0.12188713471982399,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-03-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3090.0,-16.260162601626014,0.0,6.944444444444437,-14.573459715639814,0.16241532544807186,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3630.0,17.475728155339798,-18.181818181818176,-10.0,-1.5879163439194388,0.11578195245166589,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-03-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,9.0,3580.0,-1.377410468319562,0.0,-7.352941176470582,-1.956181533646326,0.20386686915817503,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3810.0,6.424581005586583,22.222222222222232,11.59420289855072,6.04373757455269,0.11345655423812451,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-03-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3450.0,-9.4488188976378,0.0,8.450704225352117,-3.0509835407466843,0.18784318454485177,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,2740.0,-20.57971014492753,0.0,5.4794520547945185,-20.050020842017513,0.1481111518231894,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,3020.0,10.21897810218979,0.0,5.4794520547945185,-9.348198970840484,0.18102844356675102,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,2880.0,-4.635761589403975,0.0,5.4794520547945185,-12.765036780614455,0.18550959799141603,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,2620.0,-9.027777777777779,9.090909090909083,10.52631578947368,-17.01357466063349,0.12034360504022079,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3360.0,28.244274809160295,0.0,6.329113924050627,7.495429616087749,0.1595487459524801,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3210.0,-4.46428571428571,0.0,4.999999999999997,5.592105263157895,0.1985057045868187,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3270.0,1.869158878504673,0.0,3.7037037037037064,8.483412322274884,0.19681015654177886,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,4180.0,27.828746177370036,0.0,2.439024390243909,29.81366459627329,0.11477818122971056,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,3880.0,-7.177033492822971,12.5,11.83431952662722,16.068376068376075,0.10547437454725567,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,3370.0,-13.144329896907214,0.0,8.620689655172411,-1.255755546253657,0.18386179842158457,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3250.0,-3.5608308605341255,-11.111111111111116,-3.4482758620689675,-7.2185970636215275,0.16872422902031547,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3180.0,-2.1538461538461506,0.0,-3.4482758620689675,-8.545603944124903,0.20199696892402258,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,3320.0,4.402515723270439,12.5,6.779661016949157,-4.948875255623716,0.15858960502203534,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2740.0,-17.469879518072283,3.703703703703698,8.287292817679557,-19.81605351170569,0.12775405388186445,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2500.0,-8.75912408759124,0.0,5.945945945945952,-21.312949640287773,0.16161245369155702,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.5,2800.0,12.00000000000001,-10.71428571428571,-4.37158469945355,-7.372400756143661,0.1557916345650991,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,2660.0,-5.000000000000004,-12.0,-13.483146067415724,-8.94865525672372,0.14705733765312423,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,2740.0,3.007518796992481,0.0,-12.499999999999998,-3.811434302908722,0.1944092178391738,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,2820.0,2.9197080291970767,9.090909090909083,-4.545454545454543,0.8171603677221584,0.1673669973918135,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.0,1700.0,-39.71631205673759,8.333333333333325,4.0,-33.74164810690423,0.043814509113053624,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,15.0,2810.0,65.29411764705881,15.384615384615374,18.644067796610177,9.095951192457013,0.023898548864973446,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-03-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,16.0,3170.0,12.811387900355875,6.666666666666665,23.756906077348063,18.66310160427807,0.07451390843778882,NORMAL,NORMAL,NORMAL,NORMAL
2026-03-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,2460.0,-22.397476340694013,-15.625,3.2786885245901662,-6.209150326797379,0.11147115578879624,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-03-31,AJattihalli(Uzhavar Sandhai ),Dharmapuri,15.5,2930.0,19.10569105691058,14.814814814814813,13.02083333333334,10.091250670960811,0.11077040948524364,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,15.5,2960.0,1.0238907849829282,0.0,7.96019900497512,9.92042440318303,0.18378691048367302,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,16.5,2500.0,-15.540540540540537,6.451612903225801,10.0,-5.558553696708048,0.14391662865954458,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,16.0,1640.0,-34.4,-3.0303030303030276,3.703703703703702,-37.8451543042772,0.0639192197734827,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2640.0,60.97560975609757,-12.5,-8.411214953271033,0.9836065573770517,0.07164524707956449,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,2100.0,-20.45454545454546,-3.57142857142857,-9.569377990430624,-14.683691236215907,0.1363179019741299,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,1170.0,-44.285714285714285,3.703703703703698,-6.666666666666667,-48.6198243412798,-0.0030651687905424163,SHOCK,NORMAL,NORMAL,ANOMALY
2026-04-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,16.0,1880.0,60.68376068376069,14.28571428571428,6.161137440758296,-11.618535930154474,0.04737438618665418,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,2340.0,24.468085106382986,-12.5,-5.769230769230773,14.786264891380513,0.11469243163274373,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,14.0,1320.0,-43.58974358974359,0.0,-3.4482758620689653,-29.411764705882355,0.08168762427142573,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,17.0,1960.0,48.484848484848484,21.42857142857142,16.09756097560976,2.311707680835194,0.04003039452884938,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-04-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,16.5,1900.0,-3.0612244897959218,-2.941176470588236,10.0,4.972375690607735,0.17689105855481402,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,20.0,1880.0,-1.0526315789473717,21.212121212121215,25.560538116591925,5.702811244979914,0.08022164447490093,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-04-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.0,1960.0,4.255319148936176,10.000000000000009,28.870292887029276,3.625377643504537,0.0815477519858453,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.5,2400.0,22.44897959183674,2.2727272727272707,25.0,22.093023255813947,0.05038518845141238,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,23.0,2310.0,-3.749999999999998,2.2222222222222143,19.259259259259267,17.771303714493815,0.10876247160212132,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.5,3440.0,48.917748917748916,-2.1739130434782594,9.75609756097561,51.92429022082019,0.006936351009146802,NORMAL,SUPPLY SHOCK,NORMAL,SUPPLY SHOCK
2026-04-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,23.0,3320.0,-3.488372093023251,2.2222222222222143,7.69230769230769,35.03776873910518,0.0987610603134012,NORMAL,SUPPLY SHOCK,NORMAL,SUPPLY SHOCK
2026-04-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,23.0,3050.0,-8.13253012048193,0.0,3.2051282051282097,16.28540305010894,0.16767024319346124,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,26.0,2820.0,-7.540983606557372,13.043478260869556,12.34567901234568,2.279792746113982,0.14582675805075496,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.5,2790.0,-1.0638297872340385,5.769230769230771,14.925373134328366,-2.980625931445606,0.1573365336907086,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,26.0,3160.0,13.261648745519716,-5.454545454545457,6.432748538011703,5.887984681665872,0.17359966815420141,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.0,2430.0,-23.10126582278481,3.8461538461538547,8.0,-19.038553069966685,0.11942438373772257,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.5,1930.0,-20.576131687242793,1.85185185185186,6.94444444444444,-30.71794871794872,0.10852528683932838,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.5,1040.0,-46.1139896373057,0.0,4.336043360433602,-57.72357723577236,-0.0006639815613430633,SHOCK,NORMAL,NORMAL,ANOMALY
2026-04-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,41.0,1890.0,81.73076923076923,49.09090909090909,41.7283950617284,-17.621419676214195,-0.152658013130737,SHOCK,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-04-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,42.0,2380.0,25.92592592592593,2.4390243902439046,34.553775743707085,6.658130601792567,0.016832105417482368,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,37.5,2860.0,20.168067226890752,-10.71428571428571,14.879649890590798,27.59719566602931,0.055408591914522964,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,38.5,2880.0,0.6993006993007089,2.6666666666666616,11.825726141078832,30.824140168721602,0.10430946264072588,NORMAL,SUPPLY SHOCK,NORMAL,SUPPLY SHOCK
2026-04-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,42.0,2800.0,-2.777777777777779,9.090909090909083,14.843750000000005,24.207858048162233,0.0781926300799693,NORMAL,NORMAL,NORMAL,NORMAL
2026-04-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,36.0,2670.0,-4.642857142857137,-14.28571428571429,-4.725897920604912,13.135593220338984,0.13131607695836295,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2440.0,-8.614232209737827,-8.333333333333337,-14.444444444444441,-4.6875,0.1576028012351522,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.0,1940.0,-20.491803278688526,-3.0303030303030276,-14.176245210727966,-24.42960489705065,0.09919218772896221,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,30.0,2380.0,22.68041237113403,-6.25,-15.662650602409634,-7.289927657206461,0.12012565967335248,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,28.0,2300.0,-3.361344537815125,-6.666666666666665,-18.16283924843424,-7.524411257897768,0.14846994307838451,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,26.5,2050.0,-10.869565217391308,-5.35714285714286,-18.461538461538463,-13.449939686369113,0.12542321830677,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.5,1540.0,-24.878048780487806,3.7735849056603765,-9.624413145539902,-29.634464751958223,0.08213786538589934,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.0,1710.0,11.038961038961048,16.36363636363636,7.177033492822965,-16.64345403899722,0.11141390544358531,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-05-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,29.0,2480.0,45.029239766081865,-9.375,-0.9756097560975575,20.555555555555543,0.07870860900759008,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,28.0,2340.0,-5.645161290322576,-3.4482758620689613,-2.48756218905473,10.675675675675679,0.1776174506974601,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.0,2720.0,16.23931623931625,14.28571428571428,10.344827586206897,25.75957727873185,0.08109527731935112,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,28.0,2310.0,-15.073529411764708,-12.5,-3.4482758620689653,6.732673267326736,0.13939487416648993,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,27.5,2630.0,13.85281385281385,-1.7857142857142905,-5.637254901960782,17.037507946598847,0.1634897062238067,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,28.0,3220.0,22.43346007604563,1.8181818181818077,-4.156479217603915,29.465824238943128,0.11786735386000008,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,28.0,3140.0,-2.4844720496894457,0.0,-2.2443890274314198,16.66666666666666,0.18227767882487766,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,29.0,2420.0,-22.92993630573248,3.571428571428581,1.2468827930174582,-9.797657082002123,0.1561896475703876,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.0,3200.0,32.231404958677686,10.344827586206895,9.535452322738383,14.05295315682281,0.10226918065740515,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,3140.0,-1.8750000000000044,3.125,12.40875912408759,9.571286141575271,0.16348482300345346,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2350.0,-25.159235668789815,0.0,9.738717339667453,-18.159203980099505,0.127730962881954,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2320.0,-1.276595744680853,0.0,6.944444444444444,-17.938352703385554,0.1750673120684197,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2720.0,17.24137931034482,0.0,4.524886877828049,-1.2960082944530869,0.18396054182701732,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.5,2800.0,2.941176470588225,-1.5151515151515138,0.8869179600886887,3.430079155672816,0.20254079049224027,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.5,2800.0,0.0,3.076923076923066,1.9565217391304444,1.3967925504397263,0.19976173498543243,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2480.0,-11.428571428571432,-1.4925373134328401,0.0,-6.716818914562059,0.19030216169723435,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,34.0,2840.0,14.516129032258075,3.0303030303030276,2.586206896551715,8.57454942654287,0.17276399571535717,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,34.0,2780.0,-2.1126760563380254,0.0,2.145922746781119,3.8420490928495123,0.20670681139550579,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,33.0,2800.0,0.7194244604316502,-2.941176470588236,-0.8583690987124434,1.977107180020809,0.20371606345915627,NORMAL,NORMAL,NORMAL,NORMAL
2026-05-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,32.0,2700.0,-3.57142857142857,-3.0303030303030276,-3.4482758620689746,-1.5624999999999931,0.20073364381121928,NORMAL,NORMAL,NORMAL,NORMAL
